class,cap-shape,cap-su4face,cap-colo4,b4uises,o4o4,gill-attachment,gill-spacing,gill-size,gill-colo4,stalk-shape,stalk-4oot,stalk-su4face-above-4ing,stalk-su4face-below-4ing,stalk-colo4-above-4ing,stalk-colo4-below-4ing,veil-type,veil-colo4,4ing-numbe4,4ing-type,spo4e-p4int-colo4,population,habitat
1,2,5,6,8,1,9,3,6,6,0,0,4,4,7,7,1,7,3,1,6,2,5
0,3,5,5,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,6,4,8
0,3,5,7,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,6,6,8
0,3,4,7,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,9,4,8
1,9,4,7,8,1,9,3,6,6,0,0,4,4,7,7,1,7,3,1,6,2,5
0,2,5,5,8,3,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,6,8
0,2,5,7,8,4,9,3,3,7,0,3,4,4,7,7,1,7,3,1,6,6,8
0,9,9,6,9,6,9,3,6,9,0,0,4,4,7,7,1,7,3,1,9,5,3
0,2,4,5,8,3,9,7,6,6,8,3,4,4,7,7,1,7,3,1,6,2,4
0,3,4,5,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,6,8
1,2,5,7,8,1,9,3,6,9,0,0,4,4,7,7,1,7,3,1,6,4,3
0,2,5,5,8,4,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,6,8
0,2,5,6,8,4,9,3,3,1,0,4,4,5,7,7,1,7,3,1,6,5,1
0,3,5,5,8,4,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,4,8
0,2,9,5,8,4,9,7,6,7,8,3,4,4,7,7,1,7,3,1,6,2,4
0,4,9,5,9,6,9,3,6,9,0,0,4,4,7,7,1,7,3,1,9,2,3
1,2,5,6,8,1,9,3,6,7,0,0,4,4,7,7,1,7,3,1,6,4,3
0,2,9,5,8,3,9,7,6,1,8,3,4,4,7,7,1,7,3,1,6,2,4
0,3,4,5,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,4,8
0,3,5,5,8,3,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,4,5
0,2,5,5,8,4,9,3,3,6,0,4,4,5,7,7,1,7,3,1,9,5,1
0,2,9,6,9,6,9,3,6,5,0,0,4,4,7,7,1,7,3,1,9,5,3
1,2,5,7,8,1,9,3,6,1,0,0,4,4,7,7,1,7,3,1,6,2,5
0,2,4,5,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,9,6,8
0,2,5,7,8,3,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,6,5
0,2,5,5,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,4,8
0,2,4,7,8,4,9,3,3,7,0,3,4,4,7,7,1,7,3,1,6,6,8
0,2,5,5,8,4,9,3,3,6,0,4,4,5,7,7,1,7,3,1,6,4,1
0,9,5,5,8,4,9,3,3,7,0,4,4,5,7,7,1,7,3,1,9,4,1
0,2,5,6,8,3,9,3,3,7,0,4,4,5,7,7,1,7,3,1,9,4,5
0,2,4,7,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,4,5
0,3,4,7,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,6,6,8
1,2,5,6,8,1,9,3,6,9,0,0,4,4,7,7,1,7,3,1,6,2,3
1,2,4,7,8,1,9,3,6,9,0,0,4,4,7,7,1,7,3,1,9,2,3
0,3,5,5,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,9,4,8
0,9,9,5,9,6,9,7,3,6,8,0,4,4,7,7,1,7,3,0,6,3,5
0,3,4,7,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,6,6,5
0,2,4,5,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,6,5
0,2,5,6,8,3,9,3,3,1,0,4,4,5,7,7,1,7,3,1,9,5,1
0,4,9,5,9,6,9,3,6,9,0,0,4,4,7,7,1,7,3,1,6,2,3
0,3,5,5,8,3,9,3,3,9,0,3,4,4,7,7,1,7,3,1,6,4,8
0,3,4,5,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,4,8
0,3,5,5,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,6,8
0,3,5,7,8,4,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,4,5
0,9,4,6,9,6,9,7,3,9,8,0,4,4,7,7,1,7,3,0,9,3,5
0,2,4,7,8,4,9,3,3,6,0,3,4,4,7,7,1,7,3,1,9,4,5
0,9,5,5,8,3,9,3,3,7,0,4,4,5,7,7,1,7,3,1,6,4,5
0,2,5,5,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,9,6,5
0,2,9,5,9,6,9,3,6,1,0,0,4,4,7,7,1,7,3,1,6,2,3
0,9,9,5,8,4,9,7,6,1,8,3,4,4,7,7,1,7,3,1,6,2,4
0,3,5,7,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,4,8
0,9,9,5,8,4,9,7,6,7,8,3,4,4,7,7,1,7,3,1,6,2,4
0,2,5,6,8,3,9,3,3,1,0,4,4,5,7,7,1,7,3,1,9,4,1
0,3,4,5,8,3,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,4,5
0,9,4,5,8,4,9,7,6,1,8,3,4,4,7,7,1,7,3,1,6,2,4
0,2,4,7,8,4,9,7,6,6,8,3,4,4,7,7,1,7,3,1,3,2,4
0,9,5,6,8,4,9,3,3,1,0,4,4,5,7,7,1,7,3,1,6,5,1
1,2,5,6,8,1,9,3,6,7,0,0,4,4,7,7,1,7,3,1,6,2,3
0,9,5,6,8,3,9,3,3,6,0,4,4,5,7,7,1,7,3,1,6,5,5
0,2,4,6,9,6,9,7,3,9,8,0,9,4,7,7,1,7,3,0,6,4,5
1,2,5,7,8,1,9,3,6,7,0,0,4,4,7,7,1,7,3,1,9,4,5
0,9,9,5,9,6,9,3,6,6,0,0,4,4,7,7,1,7,3,1,6,5,3
0,2,9,5,9,6,9,7,3,6,8,0,4,4,7,7,1,7,3,0,6,4,5
0,2,5,5,8,4,9,3,3,7,0,4,4,5,7,7,1,7,3,1,9,4,5
0,2,4,6,9,6,9,7,3,9,8,0,4,4,7,7,1,7,3,0,9,4,5
0,3,4,7,8,3,9,3,3,7,0,3,4,4,7,7,1,7,3,1,9,4,5
0,2,4,7,8,4,9,3,3,6,0,3,4,4,7,7,1,7,3,1,6,4,5
0,9,5,6,8,4,9,3,3,7,0,4,4,5,7,7,1,7,3,1,9,5,5
0,4,9,6,9,6,9,3,6,6,0,0,4,4,7,7,1,7,3,1,6,2,3
0,2,9,6,9,6,9,3,6,6,0,0,4,4,7,7,1,7,3,1,6,5,3
0,3,4,7,8,4,9,3,3,9,0,3,4,4,7,7,1,7,3,1,9,4,5
0,2,5,5,8,3,9,3,3,5,0,3,4,4,7,7,1,7,3,1,9,4,5
0,2,5,5,8,4,9,3,3,5,0,3,4,4,7,7,1,7,3,1,9,6,8
0,2,4,6,9,6,9,7,3,6,8,0,4,4,7,7,1,7,3,0,6,3,5
0,2,4,7,8,3,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,4,5
0,9,5,6,8,4,9,3,3,1,0,4,4,5,7,7,1,7,3,1,6,4,5
0,2,4,5,8,3,9,3,3,6,0,3,4,4,7,7,1,7,3,1,9,6,5
0,3,4,7,8,3,9,3,3,5,0,3,4,4,7,7,1,7,3,1,6,4,5
